# Created by Octave 3.2.4, Tue Aug 30 16:24:47 2011 CEST <spiecker@slave>
# name: CF
# type: matrix
# rows: 6
# columns: 6
 0.492936795493753 0.4929358779220038 0.1997586984742528 0.1390185391251267 0.8622341006018575 0.4558989361133224
 0.01850066729434346 0.01850041740987165 0.1447664444568031 0.07117297872601694 0.1200264755740993 0.1880697226980065
 0.2163026235093813 0.216300294705267 0.259823979356679 0.02554805285424777 0.1001022553850985 0.1878313656278316
 0.08123387205744777 0.08123179892797124 0.1904059656069709 0.5542941291475626 0.1251557381574934 0.160258370924519
 0.5715111806693985 0.5715119330668251 0.1811662330655436 0.318986164763108 0.985353370906182 0.2359724485541984
 0.1909250328194575 0.1909286568661851 0.0313304224553512 1.296574605978819 0.665033826997388 0.8750270174850663
# name: diffr_vector_matrix
# type: matrix
# rows: 6
# columns: 3
 0 -1 1
 0 1 0
 1 -1 -1
 1 -1 0
 0 1 -3
 1 0 0
# name: twotheta
# type: matrix
# rows: 6
# columns: 1
 16.41967111010797
 17.53324411544459
 21.30938284960305
 22.54704571666313
 28.75104674809819
 25.69820181863215
# name: hkl_matrix
# type: matrix
# rows: 6
# columns: 3
 1 0 0
 0 1 0
 1 0 0
 1 0 0
 0 1 0
 1 0 0
# name: uvw_matrix
# type: matrix
# rows: 6
# columns: 3
 0 0 1
 0 0 1
 0 1 0
 0 0 1
 0 0 1
 0 1 0
# name: disltype_matrix
# type: matrix
# rows: 6
# columns: 1
 0
 0
 0
 90
 90
 90
