# Created by Octave 4.0.0, Tue Feb 06 15:10:51 2018 CET <f_spieckermann@MUL-12-linux>
# name: diffr_vector_matrix
# type: matrix
# rows: 5
# columns: 3
 1 1 0
 0 4 0
 1 3 0
 1 1 1
 1 3 -1


# name: twotheta
# type: matrix
# rows: 5
# columns: 1
 14.1441383510464
 16.92214242717873
 18.55211661634048
 21.31021025572477
 21.82947141224131


# name: hkl_matrix
# type: matrix
# rows: 8
# columns: 3
 0 1 0
 1 0 0
 1 1 0
 0 1 0
 0 1 0
 1 0 0
 1 1 0
 0 1 0


# name: uvw_matrix
# type: matrix
# rows: 8
# columns: 3
 0 0 1
 0 0 1
 0 0 1
 1 0 0
 0 0 1
 0 0 1
 0 0 1
 1 0 0


# name: disltype_matrix
# type: matrix
# rows: 8
# columns: 1
 0
 0
 0
 0
 90
 90
 90
 90


# name: CF
# type: matrix
# rows: 5
# columns: 8
 0.01042042742220966 0.01042008159596828 0.0104201117451956 0.1020148708977607 0.002734448801723453 0.1225816884889177 0.1435470027963114 0.5264695265963345
 0.005525503702835137 0.005525376923911389 0.005525331504416231 0.0005538895019371099 0.1300176812334434 9.855748836426566e-68 0.002931343521709404 0.09972079563154801
 0.003119319582168013 0.003119397502033174 0.003119403106436785 0.2556515614028271 0.0337632768326311 0.04171957825590702 0.09976926815585505 0.3210535803466557
 0.2236486800522777 0.2236434574871397 0.22364318273734 0.238460241434767 0.08550003647995509 0.520183767424137 0.5665584710442703 0.09842646281221787
 0.2352805050601568 0.235278927868435 0.2352767463533895 0.2286836769680646 0.2911190485909519 0.3995586463494037 0.5535073305069372 0.1605387018915804


